Category_epd_name,Name,ID,Zip,County,Address,Latitude,Longitude
Finishes >> Flooring >> Carpet,EcoWorx® Carpet Tile with Nylon-6 Face Fiber,ec3yudbu,,Bartow County,"Bartow County, GA, USA",34.266062500000004,-84.8150625
Finishes >> Flooring >> Carpet,StrataWorx® Carpet Tile with Nylon-6 Face Fiber,ec3n563k,,,,,
Finishes >> Flooring >> Carpet,"ClassicBac® Broadloom Carpet with Nylon-6,6 Face Fiber",ec3sh1qb,30721,Whitfield,"616 East Walnut Avenue, Dalton, GA 30721",34.76038,-84.95916
Finishes >> Flooring >> Carpet,"EcoWorx® Performance Broadloom Carpet with Nylon-6,6 Face",ec3fuzm3,30120,Bartow County,"1061 West Ave, Cartersville, GA 30120, USA",34.1546155,-84.822739
Finishes >> Flooring >> Carpet,EcoWorx® Performance Broadloom Carpet with Solution Q® or Solution Q Extreme®,ec390n7j,,Bartow County,"Bartow County, GA, USA",34.2660473,-84.8150781
Finishes >> Flooring >> Carpet,EcoWorx® PLATINUM Carpet Tile with 16oz. EcoSolution Q® Face,ec3n6d64,30721,Whitfield,"616 East Walnut Avenue, Dalton, GA 30721",34.76038,-84.95916
Concrete >> ReadyMix,40SAC131,ec3mmrk3,"30071,30340",Gwinnett,"Weaver Way, Atlanta, GA",33.92109,-84.2391
Concrete >> ReadyMix,357FS,ec38jujz,30331,Fulton County,"2454 Daniel Rd SW, Atlanta, GA 30331, USA",33.6867093,-84.5138829
Finishes >> Flooring >> Carpet,#name_is_not_extracted,ec33f6k1,,Whitfield County,"Dalton, GA, United States",34.761451721191406,-84.97218322753906
Finishes >> Flooring >> Carpet,Modular carpet,ec3q2ap9,30240,Troup,"1503 Orchard Hill Road, Lagrange, GA 30240",33.002754,-85.054565
Finishes >> Gypsum,"5/8"" DensDeck® Prime Roof Board",ec37n2q6,,,,,
Finishes >> Gypsum,"1"" DensGlass® Shaftliner Gypsum Panel",ec3tzadm,,,,,
Finishes >> Flooring >> Carpet,Ecoworx®,ec3nnw8c,,,,,
ThermalMoistureProtection >> Insulation,Paratherm® NH Roof Insulation,ec39c53x,,,,,
Finishes >> Flooring >> Carpet,rEvolve II,ec3xx186,30701,Gordon,"US-41 South, Calhoun, GA 30701",34.47348,-84.93447
Concrete >> ReadyMix,409-2,ec3p9f0p,30009,Fulton County,"695 Sims Industrial Blvd, Alpharetta, GA 30009, USA",34.0584479,-84.3072397
Finishes >> Flooring >> Carpet,Kinetex Textile Composite Flooring,ec3azwgg,30721,Whitfield,"818 J & J Drive, Dalton, GA 30721",34.78665,-84.94676
Concrete >> ReadyMix,E307FS,ec3e8sak,30318,Fulton,"1430 Marietta Boulevard Northwest, Atlanta, GA 30318",33.79411,-84.43239
Concrete >> ReadyMix,35CAC138,ec3eq2n8,30316,Fulton,"885 Glenwood Avenue Southeast, Atlanta, GA 30316",33.73867,-84.35887
Concrete >> ReadyMix,40AAP0016,ec3zaqp3,30316,Fulton,"885 Glenwood Avenue Southeast, Atlanta, GA 30316",33.73867,-84.35887
ThermalMoistureProtection >> Insulation >> BoardInsulation,Styrofoam Insulation,ec305p5j,30721,Whitfield County,"Prosser Dr SE, Georgia 30721, USA",34.6333449,-84.930366
Finishes >> Flooring >> Carpet,EcoWorx® Carpet Tile with Needlebond Polyester Face Fiber,ec31ph7t,,Bartow County,"Bartow County, GA, USA",34.2660473,-84.8150781
Finishes >> Flooring >> Carpet,EcoWorx® PLATINUM Carpet Tile with EcoSolution Q® Face,ec3jrce2,,Bartow County,"Bartow County, GA, USA",34.2660473,-84.8150781
Openings >> CurtainWalls,Aluminum Curtain Wall Systems,ec358qh6,31021,Laurens,"1229 Highway 441 Bypass, Dublin, GA 31021",32.50905,-82.94872
Finishes >> Flooring >> Carpet,EcoWorx® Carpet Tile with Solution Q® or Solution Q Extreme® Face,ec3qk455,30721,Whitfield,"616 East Walnut Avenue, Dalton, GA 30721",34.76038,-84.95916
Finishes >> Flooring >> Carpet,EcoWorx® Walk-Off Mat with Polyester Face Fiber,ec3gnf1r,30721,Whitfield,"616 East Walnut Avenue, Dalton, GA 30721",34.76038,-84.95916
Finishes >> Flooring >> Carpet,EcoWorx® GOLD Carpet Tile with EcoSolution Q® Face,ec39epq0,,Bartow County,"Bartow County, GA, USA",34.2660473,-84.8150781
Finishes >> Flooring >> Carpet,"EcoWorx® Carpet Tile with Nylon-6,6 Face Fiber",ec3pkmz2,30721,Whitfield,"616 East Walnut Avenue, Dalton, GA 30721",34.76038,-84.95916
Finishes >> Flooring >> Carpet,EcoWorx® Carpet Tile with Solution Q® or Solution Q Extreme® Face Fiber,ec33kyxf,,Bartow County,"Bartow County, GA, USA",34.2660473,-84.8150781
Finishes >> Flooring >> Carpet,EcoWorx® PLATINUM Carpet Tile with 16oz. EcoSolution Q® Face,ec30hp9z,,Bartow County,"Bartow County, GA, USA",34.2660473,-84.8150781
Finishes >> Flooring >> Carpet,EcoWorx® PLATINUM Carpet Tile with EcoSolution Q® Face,ec30ye07,30721,Whitfield,"616 East Walnut Avenue, Dalton, GA 30721",34.76038,-84.95916
Finishes >> Flooring >> Carpet,"Residential Broadloom Carpet with Nylon-6,6 Face Fiber",ec3b2dq5,30721,Whitfield,"616 East Walnut Avenue, Dalton, GA 30721",34.76038,-84.95916
Finishes >> Flooring >> Carpet,EcoWorx® Carpet Tile with Solution Q® or Solution Q Extreme® Face,ec3b60sa,,Bartow County,"Bartow County, GA, USA",34.2660473,-84.8150781
Finishes >> Flooring >> Carpet,Residential Broadloom Carpet with ClearTouch® Platinum Polyester Face Fiber,ec39jpsu,30721,Whitfield,"616 East Walnut Avenue, Dalton, GA 30721",34.76038,-84.95916
Finishes >> Flooring >> Carpet,StrataWorx® Carpet Tile with Nylon-6 Face Fiber,ec3w011m,30721,Whitfield,"616 East Walnut Avenue, Dalton, GA 30721",34.76038,-84.95916
Finishes >> Flooring >> Carpet,Residential Broadloom Carpet with Polyester Face Fiber,ec33ypbq,30721,Whitfield,"616 East Walnut Avenue, Dalton, GA 30721",34.76038,-84.95916
Finishes >> Flooring >> Carpet,StrataWorx® Carpet Tile with Polyester Face Fiber,ec3nbfey,30721,Whitfield,"616 East Walnut Avenue, Dalton, GA 30721",34.76038,-84.95916
Finishes >> Flooring >> Carpet,Residential Broadloom Carpet with Nylon-6 Face Fiber,ec3whhxt,30721,Whitfield,"616 East Walnut Avenue, Dalton, GA 30721",34.76038,-84.95916
Concrete >> ReadyMix,40DAX412,ec3uj621,30316,Fulton,"885 Glenwood Avenue Southeast, Atlanta, GA 30316",33.73867,-84.35887
Openings >> DoorsAndFrames,YTD 350 TH 3-1/2” ProTek® Thermally Broken Impact Resistant Architectural  Terrace Door,ec3bjsby,31021,Laurens,"1229 Highway 441 Bypass, Dublin, GA 31021",32.50905,-82.94872
Aluminium,Aluminum Sun Control Systems,ec35mp71,31021,Laurens,"1229 Highway 441 Bypass, Dublin, GA 31021",32.50905,-82.94872
Finishes >> Flooring >> Carpet,"GlasBac RE, Nylon 6 styles of modular carpet",ec3axfdt,30240,Troup County,"1503 Orchard Hill Rd, LaGrange, GA 30240, USA",33.0028938,-85.0559806
Finishes >> Flooring >> Carpet,"GlasBac, Nylon 66 styles of modular carpet",ec3ejzap,30240,Troup County,"1503 Orchard Hill Rd, LaGrange, GA 30240, USA",33.0028938,-85.0559806
Finishes >> Flooring >> ResilientFlooring,Achieve Sheet Flooring 13 mm,ec3ydxf8,30188,Cherokee,"108 Arnold Mill Road, Woodstock, GA 30188",34.10055,-84.51598
Finishes >> Flooring >> Carpet,Infinity RE,ec3ff5f0,30701,Gordon,"US-41 South, Calhoun, GA 30701",34.47348,-84.93447
Finishes >> Flooring >> Carpet,Integra HP Broadloom Carpet,ec3naeq8,30701,Gordon,"US-41 South, Calhoun, GA 30701",34.47348,-84.93447
